"Country","GDP2"
"Liechtenstein",139.1
"Qatar",124.1
"Macau",122
"Monaco",115.7
"Luxembourg",105.1
"Bermuda",99.4
"Singapore",94.1
"Isle of Man",84.6
"Brunei",78.9
"Ireland",73.2
"Norway",72.1
"Falkland Islands (Islas Malvinas)",70.8
"United Arab Emirates",68.6
"Sint Maarten",66.8
"Kuwait",65.8
"Hong Kong",64.5
"Switzerland",62.1
"Gibraltar",61.7
"United States",59.8
"San Marino",59
"Jersey",56.6
"Saudi Arabia",54.5
"Netherlands",53.9
"Guernsey",52.5
"Iceland",52.2
"Sweden",51.2
"Germany",50.8
"Taiwan",50.5
"Australia",50.4
"Denmark",50.1
"Austria",50
"Andorra",49.9
"Bahrain",49
"Canada",48.4
"Belgium",46.6
"Saint Pierre and Miquelon",46.2
"Oman",46
"Finland",44.5
"United Kingdom",44.3
"France",44.1
"Cayman Islands",43.8
"Japan",42.9
"Malta",41.9
"Greenland",41.8
"Faroe Islands",40
"Korea, South",39.5
"Puerto Rico",39.4
"New Zealand",39
"Spain",38.4
"Italy",38.2
"Aruba",37.5
"Equatorial Guinea",37.4
"Cyprus",37.2
"Virgin Islands",37
"Israel",36.4
"Guam",35.6
"Czechia",35.5
"Slovenia",34.5
"British Virgin Islands",34.2
"Montserrat",34
"Slovakia",33.1
"Bahamas, The",32.4
"Lithuania",32.4
"Estonia",31.7
"Trinidad and Tobago",31.3
"New Caledonia",31.1
"Portugal",30.5
"Hungary",29.6
"Poland",29.6
"Seychelles",29.3
"Malaysia",29.1
"Turks and Caicos Islands",29.1
"Saint Kitts and Nevis",28.2
"Russia",27.9
"Greece",27.8
"Latvia",27.7
"Turkey",27
"Antigua and Barbuda",26.4
"Kazakhstan",26.3
"Panama",25.4
"Croatia",24.7
"Chile",24.6
"Romania",24.6
"Northern Mariana Islands",24.5
"Uruguay",22.4
"Mauritius",22.3
"Bulgaria",21.8
"Argentina",20.9
"Iran",20.1
"Mexico",19.9
"Lebanon",19.6
"Saint Martin",19.3
"Maldives",19.2
"Belarus",18.9
"Barbados",18.6
"China",18.2
"Turkmenistan",18.2
"Gabon",18.1
"Thailand",17.9
"Montenegro",17.8
"Azerbaijan",17.5
"Botswana",17
"Dominican Republic",17
"French Polynesia",17
"Costa Rica",16.9
"Cook Islands",16.7
"Iraq",16.7
"Brazil",15.6
"Algeria",15.2
"Grenada",15.1
"Serbia",15.1
"Curacao",15
"Macedonia",14.9
"Suriname",14.9
"Palau",14.7
"Colombia",14.4
"Saint Lucia",14.4
"Mongolia",13.7
"South Africa",13.6
"Peru",13.5
"Sri Lanka",12.9
"Bosnia and Herzegovina",12.8
"Paraguay",12.8
"Egypt",12.7
"Albania",12.5
"Venezuela",12.5
"Indonesia",12.4
"Cuba",12.3
"Nauru",12.3
"Anguilla",12.2
"Tunisia",11.9
"Ecuador",11.5
"Saint Vincent and the Grenadines",11.5
"American Samoa",11.2
"Namibia",11.2
"Dominica",11
"Kosovo",10.9
"Georgia",10.7
"Eswatini",10.1
"Fiji",9.8
"Libya",9.6
"Armenia",9.5
"Jamaica",9.2
"Jordan",9.2
"Bhutan",9
"Ukraine",8.8
"Morocco",8.6
"Philippines",8.4
"Belize",8.3
"Guatemala",8.2
"Guyana",8.1
"El Salvador",8
"Saint Helena, Ascension, and Tristan da Cunha",7.8
"Bolivia",7.6
"Laos",7.4
"India",7.2
"Cabo Verde",7
"Uzbekistan",6.9
"Vietnam",6.9
"Angola",6.8
"Congo, Republic of the",6.8
"Moldova",6.7
"Burma",6.3
"Timor-Leste",6
"Nicaragua",5.9
"Nigeria",5.9
"Tonga",5.9
"Niue",5.8
"Samoa",5.7
"Honduras",5.6
"Pakistan",5.4
"Ghana",4.7
"Mauritania",4.5
"Sudan",4.3
"West Bank",4.3
"Bangladesh",4.2
"Cambodia",4
"Zambia",4
"Cote d'Ivoire",3.9
"Tuvalu",3.8
"Wallis and Futuna",3.8
"Cameroon",3.7
"Kyrgyzstan",3.7
"Papua New Guinea",3.7
"Djibouti",3.6
"Marshall Islands",3.6
"Kenya",3.5
"Senegal",3.5
"Micronesia, Federated States of",3.4
"Lesotho",3.3
"Sao Tome and Principe",3.2
"Tajikistan",3.2
"Tanzania",3.2
"Syria",2.9
"Nepal",2.7
"Vanuatu",2.7
"Gambia, The",2.6
"Western Sahara",2.5
"Yemen",2.5
"Uganda",2.4
"Benin",2.3
"Chad",2.3
"Zimbabwe",2.3
"Ethiopia",2.2
"Guinea",2.2
"Mali",2.2
"Solomon Islands",2.2
"Rwanda",2.1
"Afghanistan",2
"Kiribati",2
"Burkina Faso",1.9
"Guinea-Bissau",1.9
"Haiti",1.8
"Korea, North",1.7
"Togo",1.7
"Comoros",1.6
"Eritrea",1.6
"Madagascar",1.6
"Sierra Leone",1.6
"South Sudan",1.6
"Liberia",1.3
"Mozambique",1.3
"Malawi",1.2
"Niger",1.2
"Tokelau",1
"Congo, Democratic Republic of the",800
"Burundi",700
"Central African Republic",700
