"Country","co2_final"
"Afghanistan",9067000
"Albania",4500000
"Algeria",135900000
"American Samoa",361.1
"Angola",20950000
"Antigua and Barbuda",740.3
"Argentina",203700000
"Armenia",5501000
"Aruba",1266000
"Australia",439100000
"Austria",63930000
"Azerbaijan",35600000
"Bahamas, The",3089000
"Bahrain",37980000
"Bangladesh",79970000
"Barbados",1760000
"Belarus",56070000
"Belgium",134700000
"Belize",556.7
"Benin",5664000
"Bermuda",793.7
"Bhutan",604.9
"Bolivia",17660000
"Bosnia and Herzegovina",22070000
"Botswana",6235000
"Brazil",513800000
"British Virgin Islands",183.3
"Brunei",10040000
"Bulgaria",46310000
"Burkina Faso",3421000
"Burma",27010000
"Burundi",217
"Cabo Verde",867.8
"Cambodia",10550000
"Cameroon",7672000
"Canada",640600000
"Cayman Islands",643.8
"Central African Republic",413.8
"Chad",342.2
"Chile",88230000
"China",1.167e+10
"Colombia",95590000
"Comoros",193.6
"Congo, Democratic Republic of the",3146000
"Congo, Republic of the",5239000
"Cook Islands",88.81
"Costa Rica",7653000
"Cote d'Ivoire",11540000
"Croatia",17960000
"Cuba",26940000
"Cyprus",7720000
"Czechia",115800000
"Denmark",37450000
"Djibouti",950.2
"Dominica",199.6
"Dominican Republic",23790000
"Ecuador",37540000
"Egypt",232700000
"El Salvador",7331000
"Equatorial Guinea",3062000
"Eritrea",597.1
"Estonia",5306000
"Eswatini",1140000
"Ethiopia",12180000
"European Union",3.475e+09
"Falkland Islands (Islas Malvinas)",44.07
"Faroe Islands",739.3
"Fiji",2369000
"Finland",46010000
"France",341200000
"French Polynesia",1030000
"Gabon",4293000
"Gambia, The",607.3
"Georgia",9912000
"Germany",847600000
"Ghana",13670000
"Gibraltar",13340000
"Greece",69370000
"Greenland",613.8
"Grenada",283.6
"Guam",2214000
"Guatemala",17150000
"Guinea",2794000
"Guinea-Bissau",397.9
"Guyana",2131000
"Haiti",3595000
"Honduras",9436000
"Hong Kong",102500000
"Hungary",51280000
"Iceland",3228000
"India",2.383e+09
"Indonesia",540700000
"Iran",638300000
"Iraq",117900000
"Ireland",36910000
"Israel",73820000
"Italy",3.51e+08
"Jamaica",8900000
"Japan",1.268e+09
"Jersey",450
"Jordan",27390000
"Kazakhstan",304600000
"Kenya",17980000
"Kiribati",58.85
"Korea, North",27830000
"Korea, South",778400000
"Kosovo",10050000
"Kuwait",106500000
"Kyrgyzstan",10020000
"Laos",10420000
"Latvia",8632000
"Lebanon",23360000
"Lesotho",711.1
"Liberia",1163000
"Libya",46480000
"Lithuania",13490000
"Luxembourg",10720000
"Macau",2563000
"Madagascar",4021000
"Malawi",1082000
"Malaysia",226800000
"Maldives",1648000
"Mali",3388000
"Malta",8141000
"Marshall Islands",293.7
"Mauritania",2615000
"Mauritius",6429000
"Mexico",454100000
"Micronesia, Federated States of",105
"Moldova",7653000
"Mongolia",19860000
"Montenegro",2287000
"Montserrat",57.18
"Morocco",55400000
"Mozambique",11120000
"Namibia",3958000
"Nauru",76.54
"Nepal",8396000
"Netherlands",250200000
"New Caledonia",6165000
"New Zealand",37750000
"Nicaragua",5405000
"Niger",2534000
"Nigeria",1.04e+08
"Niue",7.252
"North Macedonia",7459000
"Norway",39800000
"Oman",68940000
"Pakistan",179500000
"Panama",26080000
"Papua New Guinea",6082000
"Paraguay",7740000
"Peru",55940000
"Philippines",117200000
"Poland",3.59e+08
"Portugal",54970000
"Puerto Rico",19850000
"Qatar",114200000
"Romania",72070000
"Russia",1.847e+09
"Rwanda",985.6
"Saint Helena, Ascension, and Tristan da Cunha",10.65
"Saint Kitts and Nevis",248.1
"Saint Lucia",437.9
"Saint Pierre and Miquelon",100.2
"Saint Vincent and the Grenadines",226.8
"Samoa",341.1
"Sao Tome and Principe",148.1
"Saudi Arabia",657100000
"Senegal",8644000
"Serbia",50210000
"Seychelles",1150000
"Sierra Leone",984.8
"Singapore",249500000
"Slovakia",34860000
"Slovenia",14370000
"Solomon Islands",233.5
"Somalia",852.5
"South Africa",572300000
"South Sudan",1224000
"Spain",286700000
"Sri Lanka",25190000
"Sudan",16030000
"Suriname",2075000
"Sweden",52310000
"Switzerland",38950000
"Syria",27510000
"Taiwan",348800000
"Tajikistan",6329000
"Tanzania",14570000
"Thailand",3.55e+08
"Timor-Leste",533.4
"Togo",2651000
"Tonga",139.7
"Trinidad and Tobago",48920000
"Tunisia",23420000
"Turkey",379500000
"Turkmenistan",100500000
"Turks and Caicos Islands",221.8
"Uganda",4703000
"Ukraine",238900000
"United Arab Emirates",289400000
"United Kingdom",4.24e+08
"United States",5.242e+09
"Uruguay",7554000
"Uzbekistan",95580000
"Vanuatu",164.8
"Venezuela",129900000
"Vietnam",235300000
"Virgin Islands",2764000
"West Bank",3113000
"Western Sahara",268.4
"World",3.362e+10
"Yemen",13680000
"Zambia",3777000
"Zimbabwe",12060000
